"","can_name_clean","yr","sub","cst_n","cst","pty_n","seat","cabinet_role","twitter","facebook","fb_China","tw_China"
"777","MOHAMMAD NAJIB BIN TUN ABDUL RAZAK",2008,"PAHANG","DISTRICT 085 (PEKAN)",85,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"Deputy Prime Minister: Minister of Defence; 6th Prime Minister: Minister of Finance","16389180","https://www.facebook.com/najibrazak",1,1
"778","MOHAMMAD NAJIB BIN TUN ABDUL RAZAK",2013,"PAHANG","DISTRICT 085 (PEKAN)",85,"BARISAN NASIONAL",1,"6th Prime Minister ; Minister of Finance","16389180","https://www.facebook.com/najibrazak",1,1
"779","MOHAMMAD NAJIB BIN TUN ABDUL RAZAK",2018,"PAHANG","DISTRICT 085 (PEKAN)",85,"BARISAN NASIONAL",1,"none","16389180","https://www.facebook.com/najibrazak",1,1
"780","MOHAMMAD YAHYA  YAHYA BIN LAMPONG",2013,"SABAH","DISTRICT 175 (PAPAR)",175,"PARTI KEADILAN RAKYAT",0,"none",NA,"NA",0,0
"781","MOHANA MUNIANDY",2018,"SELANGOR","DISTRICT 109 (KAPAR)",109,"BARISAN NASIONAL",0,"none","87084424","https://www.facebook.com/mohanaMIC",0,1
"782","MOHD APANDI BIN MOHAMAD",2013,"KELANTAN","DISTRICT 030 (JELI)",30,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"783","MOHD ARIFF SABRI BIN ABDUL AZIZ",2013,"PAHANG","DISTRICT 080 (RAUB)",80,"PARTI TINDAKAN DEMOKRATIK",1,"none",NA,"https://www.facebook.com/dato.ariff.sabri",0,0
"784","MOHD ASHRAF MUSTAQIM",2018,"PAHANG","DISTRICT 084 (PAYA BESAR)",84,"PARTI KEADILAN RAKYAT",0,"none","862199869284298752","https://www.facebook.com/saya.Ashraf.Mustaqim",0,1
"785","MOHD AZAMAN BIN JOHARI",2013,"JOHOR","DISTRICT 157 (PENGERANG)",157,"INDEPENDENT",0,"none",NA,"NA",0,0
"786","MOHD AZIS BIN JAMMAN",2018,"SABAH","DISTRICT 171 (SEPANGGAR)",171,"PARTI WARISAN SABAH",1,"Deputy Minister of Home Affairs","NA","https://www.facebook.com/AzisJamman",1,0
"787","MOHD BIN MANUKE",2013,"SABAH","DISTRICT 191 (KALABAKAN)",191,"INDEPENDENT",0,"none",NA,"NA",0,0
"788","MOHD FARIZ BIN ABD TALIB",2008,"TERENGGANU","DISTRICT 040 (KEMAMAN)",40,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PEOPLE'S JUSTICE PARTY)",0,"none","183732410","NA",0,1
"789","MOHD FARIZ BIN ABD TALIB",2013,"PAHANG","DISTRICT 085 (PEKAN)",85,"PARTI KEADILAN RAKYAT",0,"none","183732410","NA",0,1
"790","MOHD FASIAH BIN MOHD FAKEH",2013,"SELANGOR","DISTRICT 092 (SABAK BERNAM)",92,"BARISAN NASIONAL",1,"none","928930308543602560","https://www.facebook.com/ahliparlimensabakbernam",1,1
"791","MOHD FASIAH BIN MOHD FAKEH",2018,"SELANGOR","DISTRICT 092 (SABAK BERNAM)",92,"BARISAN NASIONAL",1,"none","928930308543602560","https://www.facebook.com/ahliparlimensabakbernam",1,1
"792","MOHD HATTA BIN MD RAMLI",2008,"KELANTAN","DISTRICT 031 (KUALA KRAI)",31,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PAN-ISLAMIC MALAYSIAN PARTY",1,"none","239196152","https://www.facebook.com/drhattaramli",1,1
"793","MOHD HATTA BIN MD RAMLI",2013,"KELANTAN","DISTRICT 031 (KUALA KRAI)",31,"PARTI ISLAM SE MALAYSIA",1,"none","239196152","https://www.facebook.com/drhattaramli",1,1
"794","MOHD HATTA BIN MD RAMLI",2018,"PERAK","DISTRICT 074 (LUMUT)",74,"PARTI KEADILAN RAKYAT",1,"Deputy Minister of Entrepreneur Development","239196152","https://www.facebook.com/drhattaramli",1,1
"795","MOHD HAYATI BIN OTHMAN",2008,"KEDAH","DISTRICT 011 (PENDANG)",11,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PAN-ISLAMIC MALAYSIAN PARTY",1,"none",NA,"https://www.facebook.com/drmohdhayati",0,0
"796","MOHD HELMI BIN HARUN",2018,"PULAU PINANG","DISTRICT 047 (NIBONG TEBAL)",47,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"797","MOHD HUZAIFAH MD SUHAIMI",2018,"TERENGGANU","DISTRICT 040 (KEMAMAN)",40,"PARTI KEADILAN RAKYAT",0,"none",NA,"https://www.facebook.com/MohdHuzaifahBinMdSuhaimi",0,0
"798","MOHD IDRIS BIN JUSI",2013,"JOHOR","DISTRICT 150 (BATU PAHAT)",150,"PARTI KEADILAN RAKYAT",1,"none","1266834314","https://www.facebook.com/IdrisJusi",1,1
"799","MOHD ISA BIN ABDUL SAMAD",2013,"NEGERI SEMBILAN","DISTRICT 127 (JEMPOL)",127,"BARISAN NASIONAL",1,"none","1045721893708263424","https://www.facebook.com/tansriTSI",1,0
"800","MOHD JIDIN BIN SHAFEE",2008,"TERENGGANU","DISTRICT 034 (SETIU)",34,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"none",NA,"https://m.facebook.com/Mohd-Jidin-Shafee-654923644600497",0,0
"801","MOHD JOHARI BIN BAHARUM",2008,"KEDAH","DISTRICT 006 (KUBANG PASU)",6,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"Deputy Minister in the Prime Minister's Department;Deputy Minister of Agriculture and Food Industry",NA,"https://www.facebook.com/Johari-Baharum-KubangPasu-186303758662165",0,1
"802","MOHD JOHARI BIN BAHARUM",2013,"KEDAH","DISTRICT 006 (KUBANG PASU)",6,"BARISAN NASIONAL",1,"Deputy Minister of Defence","3501633564","https://www.facebook.com/Johari-Baharum-KubangPasu-186303758662165",0,1
"803","MOHD JOHARI BIN BAHARUM",2018,"KEDAH","DISTRICT 006 (KUBANG PASU)",6,"BARISAN NASIONAL",0,"none","3501633564","https://www.facebook.com/Johari-Baharum-KubangPasu-186303758662165",0,1
"804","MOHD KHAIRUDDIN BIN AMAN RAZALI",2013,"TERENGGANU","DISTRICT 035 (KUALA NERUS)",35,"PARTI ISLAM SE MALAYSIA",1,"none","587538247","https://www.facebook.com/drtakiri",1,1
"805","MOHD KHAIRUDDIN BIN AMAN RAZALI",2018,"TERENGGANU","DISTRICT 035 (KUALA NERUS)",35,"PARTI ISLAM SE MALAYSIA",1,"Minister of Plantation Industries and Commodities","587538247","https://www.facebook.com/drtakiri",1,1
"806","MOHD KHAIRUL AZAM BIN ABDUL AZIZ",2018,"SELANGOR","DISTRICT 100 (PANDAN)",100,"BEBAS",0,"none","761131338","NA",0,1
"807","MOHD KHUZZAN BIN ABU BAKAR",2013,"JOHOR","DISTRICT 149 (SRI GADING)",149,"PARTI KEADILAN RAKYAT",0,"none","133940630","https://www.facebook.com/mohdkhuzzanjdt10",0,1
"808","MOHD MAHYUDDIN BIN GHAZAL  RAZALI",2013,"PAHANG","DISTRICT 079 (LIPIS)",79,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"809","MOHD NASAIE BIN ISMAIL",2013,"MELAKA","DISTRICT 134 (MASJID TANAH)",134,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"810","MOHD NASIR BIN ZAKARIA",2008,"KEDAH","DISTRICT 007 (PADANG TERAP)",7,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PAN-ISLAMIC MALAYSIAN PARTY",1,"none",NA,"https://www.facebook.com/nasir.zakaria.5",1,0
"811","MOHD NASIR BIN ZAKARIA",2013,"KEDAH","DISTRICT 007 (PADANG TERAP)",7,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",1,0
"812","MOHD NAZREE BIN MOHD YUNUS",2013,"NEGERI SEMBILAN","DISTRICT 129 (KUALA PILAH)",129,"PARTI KEADILAN RAKYAT",0,"none","174117304","https://www.facebook.com/NAZREE-YUNUS-untuk-KUALA-PILAH-296647857134283",0,1
"813","MOHD NIZAR BIN ZAKARIA",2008,"PERAK","DISTRICT 069 (PARIT)",69,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"none","148438363","NA",0,1
"814","MOHD NIZAR BIN ZAKARIA",2018,"PERAK","DISTRICT 069 (PARIT)",69,"BARISAN NASIONAL",1,"none","148438363","NA",0,1
"815","MOHD NOOR BIN ABDUL RAHMAN",2008,"PERAK","DISTRICT 054 (GERIK)",54,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PAN-ISLAMIC MALAYSIAN PARTY",0,"none",NA,"NA",0,0
"816","MOHD NOR BIN HJ R M MONUTTY",2013,"PERAK","DISTRICT 058 (BAGAN SERAI)",58,"PARTI KEADILAN RAKYAT",0,"none",NA,"NA",0,0
"817","MOHD PUAD ZARKASHI",2008,"JOHOR","DISTRICT 150 (BATU PAHAT)",150,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"Deputy Minister of Education II","195606429","https://www.facebook.com/drpuadzarkashi.official",1,1
"818","MOHD PUAD ZARKASHI",2013,"JOHOR","DISTRICT 150 (BATU PAHAT)",150,"BARISAN NASIONAL",0,"none","195606429","https://www.facebook.com/drpuadzarkashi.official",1,1
"819","MOHD RAFIZI BIN RAMLI",2013,"SELANGOR","DISTRICT 100 (PANDAN)",100,"PARTI KEADILAN RAKYAT",1,"none","143520265","https://www.facebook.com/rafiziramli.keadilan",1,1
"820","MOHD RASHID",2018,"JOHOR","DISTRICT 150 (BATU PAHAT)",150,"PARTI KEADILAN RAKYAT",1,"Deputy Speaker of Dewan Rakyat","998971231746469760","https://www.facebook.com/rashidhasnonbatupahat",1,1
"821","MOHD REDZUAN YUSOF PAK WAN",2018,"MELAKA","DISTRICT 135 (ALOR GAJAH)",135,"PARTI KEADILAN RAKYAT",1,"Minister of Entrepreneur Development and Cooperative ; Minister in the Prime Minister's Department: Special Functions","1080160636850470656","https://www.facebook.com/officialmohdredzuanyusof",1,1
"822","MOHD SHAFEI BIN ABDULLAH",2013,"W.P. KUALA LUMPUR","DISTRICT 116 (WANGSA MAJU)",116,"BARISAN NASIONAL",0,"none",NA,"https://www.facebook.com/mohdshafeiabdullah; https://www.facebook.com/MohdShafeiBinAbdullah",0,0
"823","MOHD SHAHAR BIN ABDULLAH",2018,"PAHANG","DISTRICT 084 (PAYA BESAR)",84,"BARISAN NASIONAL",1,"Deputy Minister of Finance II","1012164132936642432","https://www.facebook.com/shaharabdllh; NA",1,1
"824","MOHD SHARIFF BIN OMAR",2013,"PULAU PINANG","DISTRICT 042 (TASEK GELUGOR)",42,"INDEPENDENT",0,"none",NA,"https://www.facebook.com/datoserishariffomar",0,0
"825","MOHD SHOKRI BIN MAHMOOD",2013,"PAHANG","DISTRICT 078 (CAMERON HIGHLANDS)",78,"BARISAN JEMAAH ISLAMIAH SE MALAYSIA",0,"none",NA,"NA",0,0
"826","MOHD TAUFIK BIN HJ YAACOB",2018,"KEDAH","DISTRICT 016 (BALING)",16,"PARTI KEADILAN RAKYAT",0,"none",NA,"https://www.facebook.com/Mohd-Taufik-Bin-Hj-Yaacob-547377518966182; https://www.facebook.com/Parlimen016Baling; NA",1,0
"827","MOHD YUSMADI BIN MOHD YUSOFF",2008,"PENANG (PULAU PINANG)","DISTRICT 053 (BALIK PULAU)",53,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PEOPLE'S JUSTICE PARTY)",1,"none","3283341","NA",0,1
"828","MOHD ZAIDI MOHD SAID",2018,"PULAU PINANG","DISTRICT 044 (PERMATANG PAUH)",44,"BARISAN NASIONAL",0,"none","2993038627","https://www.facebook.com/zaidi4ptgpauh",1,1
"829","MOHD ZAIM BIN ABU HASAN",2013,"PERAK","DISTRICT 069 (PARIT)",69,"BARISAN NASIONAL",1,"none","937992643044192128","https://www.facebook.com/Calon-BN-Parlimen-Parit-P069-Dato-Hj-Mohd-Zaim-Bin-Hj-Abu-Hasan-600444333300794; NA",0,0
"830","MOHD ZAKIMAN BIN ABU BAKAR",2013,"KELANTAN","DISTRICT 021 (KOTA BHARU)",21,"INDEPENDENT",0,"none","1256107514082418688","NA",0,1
"831","MOHD ZIN MOHAMED",2008,"SELANGOR","DISTRICT 113 (SEPANG)",113,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"Minister of Works","345912441","https://www.facebook.com/DatoZin",1,1
"832","MOHD ZIN MOHAMED",2013,"SELANGOR","DISTRICT 113 (SEPANG)",113,"BARISAN NASIONAL",0,"none","345912441","https://www.facebook.com/DatoZin",1,1
"833","MOHD ZUBIR BIN EMBONG",2013,"TERENGGANU","DISTRICT 036 (KUALA TERENGGANU)",36,"BARISAN NASIONAL",0,"none",NA,"https://www.facebook.com/Dato-Haji-Mohd-Zubir-Embong-2014180842134735; NA",0,0
"834","MOHSIN FADZLI BIN HAJI SAMSURI",2008,"PERAK","DISTRICT 058 (BAGAN SERAI)",58,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PEOPLE'S JUSTICE PARTY)",1,"none",NA,"NA",0,0
"835","MOJILIP BUMBURING  WILFRED",2008,"SABAH","DISTRICT 170 (TUARAN)",170,"NATIONAL FRONT - UPKO",1,"none","732179300","https://www.facebook.com/wbumburing",1,0
