userid,twitterid
1436320749019545609,ridhoal482
2164394432,anaktoji
1347007769065385987,bambucity
1387252831984394246,fullchanflowers
1149829539188449280,sirensdiary
1437737627013185538,NKTHtae
1263590950598701056,_strwbryymoon
1326239341706838016,ayangdoyoung
23414039,spongebobmfess
1461976587729993730,malaffjay_
1300661698752163840,malaffjay
2431783591,GABUT_FESS
1455359456556896262,ExolSunshine_
1405329247418433536,yowniegurll
1449192921723408385,naraaxwjy
1446450373997182976,Candy__rjshjvj
1374260674180739074,gintamna
1386940188966801423,birururubi
1277454642331320320,ilobeeyouu
1334845893892136961,gw_tuh
1387166000022364162,pjimblue
1312179503834173441,dlptrlala
1462424319225593861,amoreaay
1045351306439737344,aishakinaaa
2952945230,ladazaa
4008636433,auyaapa
1437502627118346247,mhdarief2208
1163787757228969985,AanSaputraa_
1165828315547963392,urjinniie
1483718789279924224,NSobolim
2935596314,PapuaItuKita
890544518352830465,WimmoFreedom201
256912313,dewanpers
57261519,Metro_TV
41730943,VIVAcoid
1138999651,HeyBudie
231355136,SINDOnews
1119983251903303680,raffinagita1717
756896450831716352,chikajessica88
65288152,riofebrian25
304781769,nafaurbach
1192811643048087552,cewehijrah
1351746974492495873,piyeyobu_
1099961288170471426,sundannesee
1391645864423137280,almeeraymna
1354239623711453188,istrihabibiee
1162844460885016576,malikaacu
709585722760699905,Anggahii_
1346368625410674689,ntheoxz
537176441,leo_edw
1355539676094898176,afiations
1285612500558376961,vicadibacavika
1200441327000801280,dipanggilnyaana
1025723917,ChillinOne
1287504813421260800,vivielawantii
1231890074817585152,iseeyousirr
2267611626,akgmntenk
1349003499309305862,Merryabahr
1227546111662907392,txtdrkuliner
1368830127572885506,UtamiSalsabila5
1303916301295865856,DiandraMeysa
1367313027167490060,IntanMutiaraay
1314121008316657664,NovitaSaskia1
1306479809954897921,DaviraAdelia
1356634026895806465,takmelihatmu
1235093864685305856,andrilixx
1210835976970309633,rsheesaa_
385996689,jek___
1253864676422586368,ginagstin
616209749,Dodit_Mulyanto
1191156554826829825,Neracaaa
1376008665375801345,yyyalooy
1252174291921068032,viraniadty
1373223582415745026,cupangnct
1272046368295546880,kklerengx
1313859124438810625,brendalaurencee
346473703,Jekibarr
1456091534147813383,winterbws
1345375753257459713,cherryjenoo
1290659649369374724,96dyie
3075006979,wanz_uwu
335141638,BTS_twt
190672358,danillajpr
1379639426595180544,FatimaWijaya
748742258921316352,riana_75
3913117499,emsiplurimekdi
1231598481787146241,imdepan
533359500,TretanMuslim
53595008,wiranagara
16548023,9GAG
183585238,ainunrozi
1310085743214129153,Dmo2n_
1320646488427356160,WINJUCINIE
1339198632092831744,ccandyjaem
1348140974346653697,cinnamorwll
1455511656801439745,LatteCocco
2536252146,gealaksi
1349927011939061761,jihooniems
1199253699995918336,oshcutemaknae
1319439797602021376,caprinadyg
1260950487085355008,mark_renhyuck
1344482669099290624,junjhine
1206984498144874497,ichaechann
1351693312269250560,zeraxza
1293316268435488768,pyscogel
1234212527380189184,blcksvvt_
1127385374345420800,urkagura
1489465266345889796,twiztidnm
1365297503860445184,englishfess_
1356762815906803712,riirgn
1155090293374373888,dggukiest
1337252763500089349,yoshinor1i
1295363993884692481,junkyuteaa
1393226489185718280,notbythemun
1260776026910658560,WellWrites
1276423900046323712,jjhnxnjm
1266438027393499136,lucydoee
1255859941870465024,smnthtsc
1106560813559496709,idg4fm
1325730856279797760,jijaeqinc
1269988110332379136,itsmarkeuu
1348846467910287361,sndryndw
1341264290519474176,NelyIsnaeni8
1346755584419188737,jaeminyyxy
1264437269458378753,neostalgin
1120255427910848512,13Dumbass
1383103808679473153,hrjlovr
1349231824782823425,hoyddoyie
1331571875839758337,NiaEric216
12450932,alandakariza
1498262192872775684,chikingeprek
1134482440414584832,DARXGE
1349267014968172546,D4NARAKSU
1341254070674227200,KintanPtrrri
1349214940268167170,SunnyDyah
1350988864232579073,timelinetwiiter
1370241001017667590,ErniSalsabila4
1369831592902811649,CitraHamidah2
1329295844869214208,tvindonesiawkwk
1376493597080494088,YulitaLestari16
1172040068682305536,yovshi
1295386198974709763,bocilunsauce
1318130209359499265,hellowsunsh_
1478313448387723265,arlerst
1416682918433357826,crackcoo
1091975252840599552,eyisteijen
1306064681778384896,Leona_dxrt
1309473885855784967,bibimbaptaem
1318440988977737728,kthsbinn
743291762,mitami22
