userid,twitterid
3928308261,['gilberto_ricci']
103804719,['ronetaper']
902799838802313216,['gnpabZMTF1uwcVZ']
898510662346919938,['RBKIH1TnCqbyUVT']
2498858204,['glinapld0']
1110422431229976576,['Madelin24442018']
944918822997413889,['sofsandalnova6']
747313588415561728,['panteleimontim2']
925424120568991744,['maratkorshunov2']
902818724570386433,['9ASpH8fKSJeUc03']
902779848036417536,['bIpEdR3L2EKxbBA']
1059903755611709440,['rfhL2Wa45H7cJDv']
898510667044487168,['5ST8qk0yEa2NM9R']
902799857190146048,['NZN30OacSowl9X0']
884596182630096896,['HUYU073527']
255993278,['kalebeters']
898580789952118784,['Ryy7v3wQkXnsGO8']
979832936118870016,['DE1NPj5LSXrvtJu']
3335772928,['x1_yanOficial']
756321090532700160,['veselinatihono2']
41058100,['rebuddco']
898510986524729345,['PAFCfRIwXWParof']
898518052408623105,['aEcZIMuYOlknPkX']
898510753963155456,['0tw1OnHM0Mh9rdR']
898931308457594880,['NadezhdaMoisee']
898512077320577026,['OaN0bBekaM0JTv8']
2517775124,['Baretconrad']
924652219433066496,['xiaomfen']
898577785500954625,['sC1NBeBb2PgehFr']
898582324417318912,['BPEZ6vYhXYdVbNL']
1312913792,['Loretarevjwltd']
1312353277,['Maviskniosuuf']
902818641288323072,['WKqF8S3u2puedO5']
898510599424016384,['a5m5r1zgjbMa6bS']
926054687803101184,['9MX00E4AeFvk9j2']
3012997356,['MehraGcs']
408252568,['AnthonyIannazzo']
902800298615459842,['wAriQIurrDQsNse']
902819807803912194,['ppskEqEesHUKyQu']
831229581138997248,['jerrodnoel2sx0']
1099036260411367425,['GRivas2822']
898582426129235970,['TcWcHxN6gWuxug8']
53322799,['ChristopherHiax']
769923511993458688,['gregcrios']
902806674112741376,['DHUiMANS5lxfBRp']
877464106747531264,['Andrew020877']
916297908357554178,['HadesonHadson']
48048224,['RossSkeate']
747295026225393664,['gulnaralebedev5']
1050033155036639232,['TaKIIf265KCXcQ8']
982902029029797888,['a9NvsLfbj9kHoO7']
747319676749766656,['miheevadjemma']
909778740514656262,['molimoli518']
430992171,['markkram143']
150744097,['benjaminkudla39']
790670577291767809,['VickiReidy']
213459414,['tiotinctasi']
747292706536226816,['gurevadona88']
1075633655735820288,['Marfel78708652']
902784181893246977,['SZWalrqqfWlICJT']
912857853353902080,['springliner7495']
1055462917095735302,['mx0qDKcNQPejxdb']
212010882,['KondratevFortu']
747319777203363840,['osipodincov3']
920830166523195392,['Sobea51Eohew']
1100697498765615105,['deeb4687']
902807322048770048,['9Av6ghYAj7YCm1q']
902806489903104000,['cRKrJg4wKdSnxwi']
1100697013291831298,['garner17010']
1100678077451952128,['jackson80017']
902780191424077824,['AgkLEouMa']
937481445781602304,['zP6rUU5r0waGJ2j']
917071395263262726,['VarikashaV7']
944939752771465216,['Oo7ONLY46N75q6q']
902800917812142080,['gZyQFGpBnMYhQUa']
902801051459481600,['NHTjuUR7Uq3FAx1']
189451996,['galisuchse']
1072442746676293632,['oRPRLCXie4JvwPJ']
902817562043568128,['lTCLtrzhQ7ZT2jz']
923381953188872192,['wangxs612']
151208178,['ephrayimbs']
924437707681607680,['aleksan50558645']
924243343567216642,['leonidtarasenk1']
897825618544521216,['ydywQFCN3yUrtKv']
2230431068,['gdvcgsfsg']
929081529061347329,['lujunhelei57']
747324758958604288,['revmirlapin']
902780339055194113,['n8XvJx8Rxax21SA']
924222606210928640,['nesterova6663']
4641912672,['n28406284062486']
919954565415309312,['panxiaojie16']
15672616,['DysonYvonne1993']
1100695706828849154,['pryor07258']
1100693470916853760,['coleman98564']
978340096398299136,['rusanacoy']
902799344235143168,['VL5P0yb7AJKsm6E']
898930225635102721,['daikouzhaodesha']
918007874537766912,['Sharp21Gibbs']
1015564751508656128,['cccsaber']
917692198870712320,['ukw77567']
4069366948,['archiepgna']
1015464752452128775,['ZWYp0TG8HSv3P46']
747350912599920640,['ulrikagorbache6']
262149780,['redfearnemer']
909411916598018048,['cleanashion']
902807546079182848,['GAmArIQnTCpcgar']
927172983411564544,['ylzsbming']
927122511812206593,['WellXkislhbf']
902787450891849729,['XszWsTQq8V7wB59']
902798434167644160,['10s7oUfvX43RhHH']
222444384,['terrillz48']
1963028330,['dalotbaba22']
2156741893,['saydullos1d']
884689848401047552,['xinwenshijie']
902799699723374592,['nnJIcD3irnEm7pP']
1049978941170208769,['JYitMQ8FXyJwTwz']
416787831,['xingzhetianyaa']
1055462674694266881,['zust3MaC2Fqgrws']
926280172281778177,['jiangwei1211']
1050020807798415365,['BkFGAgsvlkULktV']
902780955181678592,['sV8jxdXfJwDNZns']
898929930494464000,['bfghek002']
920185927502147584,['feife6']
917691432877555712,['omd92227']
902783324913008640,['JAXGqF6qgockGPa']
1707170310,['jenpaorz']
919755217121316864,['wuming11xia']
925706623368159232,['qwnbpao']
930571812353712128,['davidnelson7132']
924393875438997505,['sviatoslavbara1']
926015633011167232,['bbanqiu']
4689057336,['JulieFo21740553']
889039739076190209,['game4__u']
898930679085453312,['tashipulat']
923384722020900864,['huawei41']
924402593048285185,['rustemmorozov13']
924268937088524288,['lapteva5400']
902807654984282112,['WjIOF0kbDrwdFI3']
1100700305371643904,['JRobinson1825']
1100835334630166528,['nunn84392']
1071793411001384960,['MLove9740']
1071849150134804480,['grillo50434']
886933306599776257,['lingmoms']
898579353008832514,['3s3uwK6QB58inJw']
898578775713165313,['ITO8EI21bqWzkVs']
940214963108491265,['8uihIrEbrSDJU2f']
746829685540143104,['randxr89c']
979702827009396737,['KfZzEuB55F7ntP7']
1124368193362059266,['lester_arla']
902817537741729792,['CIkflqfoa6bhr0u']
1071824625732997125,['betancourt73156']
898580380139343872,['ysvsggoKiNR3KZH']
927179432355184641,['bfldmzi']
924282716970995713,['dashapetrova453']
920821087440482304,['Trina31Owens']
921045388089368576,['songchao15']
918940309647589376,['Molimoli118']
898578819908546561,['i3H8h955othWXsZ']
2205003817,['angelita1opra']
923638243459059712,['calmitiper']
1122738866778099713,['KarenMa53105645']
902780729414885376,['vHNC2VpN1akpSHy']
898578715273297920,['QZNwkdBUWmsm2g7']
1122391694320832513,['FionaGo18772660']
898579579698384896,['0fU4z862u8KqHlB']
902786732281745409,['0LJK4SiYJ9hNg92']
4249759479,['HcqcPapleyAshle']
1017846028836278273,['nazarov_1111']
902799208385785858,['SmVuA9a3n1r7R4r']
1017845933093085188,['HelenJacson']
1017846097211994112,['laylafedera']
898580477698768896,['tagmWqzHUZZ34G7']
898579745339842561,['lgb5WJSMrh4HSMZ']
741271887536394240,['mari1lcaire']
1017846228690919425,['EthelMcDonald93']
1532024256,['follfuncobers']
3286668632,['louriep93c']
888030317117751296,['greatlingfeng']
1122737609011105792,['HildaIs19651291']
1100692047449735169,['syring00706']
923386511961219074,['wangxs6151']
898930436373708802,['Evgenianaumoval']
